FID,CID,Type,POINT_X,POINT_Y
0, 0, 1, -13182959.1463, 4020789.11303
1, 0, 2, -13181661.3864, 4021211.84622
2, 0, 1, -13183074.1197, 4020799.50973
3, 0, 2, -13181737.6242, 4021039.19913
4, 0, 2, -13183079.9413, 4021755.08345
5, 0, 1, -13183012.0055, 4020587.76598
6, 0, 2, -13182935.8758, 4021753.74955
7, 0, 2, -13181662.7776, 4021113.17497
8, 0, 1, -13182226.6115, 4020053.76933
9, 0, 2, -13181950.9013, 4021019.8769
10, 0, 2, -13183012.8417, 4021644.46636
11, 0, 2, -13181948.0875, 4021123.05634
12, 0, 1, -13183189.1966, 4020645.71252
13, 0, 1, -13183188.8652, 4020475.90857
14, 0, 2, -13183040.2295, 4021842.51058
15, 0, 1, -13182385.2466, 4019905.00622
16, 0, 2, -13182894.3762, 4021577.90916
17, 0, 2, -13181844.4914, 4020913.35843
18, 0, 2, -13181828.5982, 4020995.99982
19, 0, 1, -13182239.3049, 4020010.67604
20, 0, 1, -13182881.8302, 4020842.38914
21, 0, 2, -13182754.4428, 4021549.98345
22, 0, 1, -13182977.4253, 4020624.84164
23, 0, 2, -13181878.8563, 4021097.85972
24, 0, 1, -13182258.7332, 4020023.27444
25, 0, 1, -13183167.2869, 4020496.48317
26, 0, 2, -13181820.711, 4020990.00656
27, 0, 2, -13182797.3806, 4021662.97383
28, 0, 2, -13182798.2424, 4021608.57109
29, 0, 2, -13182655.8217, 4021610.50731
30, 0, 2, -13181864.4393, 4020999.49128
31, 0, 1, -13183157.6689, 4020460.66887
32, 0, 1, -13183073.1622, 4020632.72266
33, 0, 2, -13181730.1559, 4021190.91253
34, 0, 1, -13182864.0928, 4020657.97853
35, 0, 2, -13181954.5536, 4021045.86354
36, 0, 2, -13183006.8262, 4021715.25431
37, 0, 1, -13183121.7526, 4020442.40815
38, 0, 2, -13182414.515, 4021282.13665
39, 0, 2, -13182697.6721, 4021606.64804
40, 0, 1, -13183283.2779, 4020592.03574
41, 0, 1, -13182292.4323, 4020099.41159
42, 0, 1, -13182357.4601, 4020173.96871
43, 0, 1, -13182522.93, 4020149.94949
44, 0, 1, -13183031.9639, 4020792.16138
45, 0, 2, -13183080.5413, 4021620.82025
46, 0, 2, -13183170.3145, 4021664.19086
47, 0, 2, -13182972.1025, 4021601.50762
48, 0, 1, -13182885.4055, 4020645.06538
49, 0, 2, -13181795.1084, 4020898.64627
50, 0, 1, -13182896.4663, 4020686.00353
51, 0, 1, -13182886.3162, 4020587.52057
52, 0, 2, -13181842.5404, 4021317.65944
53, 0, 1, -13182972.9143, 4020600.90372
54, 0, 2, -13182008.2279, 4021041.03618
55, 0, 1, -13182966.5061, 4020792.84204
56, 0, 1, -13182209.8498, 4020061.15707
57, 0, 1, -13182227.0206, 4020013.51196
58, 0, 1, -13183261.3578, 4020594.30819
59, 0, 1, -13182372.0515, 4020085.94521
60, 0, 2, -13181890.7587, 4020953.98763
61, 0, 1, -13182371.207, 4020140.02257
62, 0, 2, -13183053.8064, 4021789.67938
63, 0, 2, -13181626.6387, 4021218.00217
64, 0, 1, -13182187.36, 4019988.32665
65, 0, 2, -13181836.3936, 4020945.96225
66, 0, 2, -13181586.494, 4021327.48493
67, 0, 2, -13181767.0805, 4021008.59936
68, 0, 1, -13183012.9278, 4020773.04325
69, 0, 1, -13182969.6645, 4020826.55798
70, 0, 1, -13182910.8005, 4020822.81575
71, 0, 2, -13181839.103, 4021133.57321
72, 0, 2, -13181750.2811, 4021297.28969
73, 0, 2, -13183038.2399, 4021781.95096
74, 0, 2, -13182670.734, 4021610.42639
75, 0, 1, -13183140.5581, 4020431.00497
76, 0, 2, -13181735.5551, 4021356.22355
77, 0, 2, -13182905.2169, 4021548.89156
78, 0, 1, -13182499.355, 4020049.59913
79, 0, 2, -13182985.0158, 4021634.69039
80, 0, 2, -13181696.8717, 4021091.91434
81, 0, 1, -13182787.1193, 4020739.35098
82, 0, 2, -13183038.0918, 4021683.39125
83, 0, 1, -13182972.2929, 4020737.01799
84, 0, 2, -13181928.9458, 4020873.90446
85, 0, 1, -13182285.9306, 4019914.79218
86, 0, 1, -13183225.5706, 4020582.17567
87, 0, 1, -13182507.4171, 4020168.10928
88, 0, 1, -13182267.9911, 4020012.69706
89, 0, 1, -13182749.743, 4020420.01781
90, 0, 2, -13182913.3507, 4021440.0397
91, 0, 2, -13181787.449, 4021151.03587
92, 0, 2, -13182849.8014, 4021342.6146
93, 0, 2, -13181792.3603, 4021151.97891
94, 0, 1, -13182452.4248, 4019955.61327
